DEPT OF INFO TECH & TELECOMM,External,Director of Strategic Technology Development,COMPUTER SYSTEMS MANAGER,M1,Below 50K,Strategic Technology Dev
DEPARTMENT OF BUSINESS SERV.,Internal,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,M3,Above 50K,Bus SVS & Recruitment
DEPT OF ENVIRONMENT PROTECTION,External,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,00,Below 50K,Envrnmntl Planng/Ofc of Brnf
DEPT OF ENVIRONMENT PROTECTION,Internal,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,00,Below 50K,Envrnmntl Planng/Ofc of Brnf
DEPT OF ENVIRONMENT PROTECTION,Internal,Deputy Plant Chief,SENIOR STATIONARY ENGINEER (EL,00,Above 50K,Wards Island
DEPT OF ENVIRONMENT PROTECTION,External,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,00,Below 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Internal,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,00,Below 50K,Green Infrastructure
DEPT OF HEALTH/MENTAL HYGIENE,External,"Special Assistant, Center for Health Equity",STAFF ANALYST,02,Above 50K,Center for Health Equity
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Special Assistant, Center for Health Equity",STAFF ANALYST,02,Above 50K,Center for Health Equity
DEPT OF ENVIRONMENT PROTECTION,Internal,EHS Compliance Systems Specialist,ASSOCIATE PROJECT MANAGER,02,Above 50K,Dept of Environment Protection
DEPT OF INFO TECH & TELECOMM,Internal,Application Support Reporting Specialist,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,Enterprise APP Services
DEPT OF ENVIRONMENT PROTECTION,Internal,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Below 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,External,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Below 50K,Green Infrastructure
NYC HOUSING AUTHORITY,Internal,PLUMBER'S HELPER,PLUMBER'S HELPER,00,Above 50K,Brooklyn Property Management
DEPT OF ENVIRONMENT PROTECTION,Internal,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Executive Management
NYC HOUSING AUTHORITY,External,PLUMBER'S HELPER,PLUMBER'S HELPER,00,Above 50K,Brooklyn Property Management
DEPT OF HEALTH/MENTAL HYGIENE,External,"Field Medical Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,01,Below 50K,SH Reproductive Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Field Medical Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,01,Below 50K,SH Reproductive Health
DEPARTMENT OF FINANCE,Internal,OCA Contract Manager,ASSOCIATE STAFF ANALYST,00,Above 50K,OCA-Collection Agency Contract
NYC HOUSING AUTHORITY,External,ELEVATOR ADMINISTRATOR,SUPERVISOR OF ELEVATOR MAINTEN,M2,Above 50K,Elevators Svcs & Repairs Dept
NYC HOUSING AUTHORITY,Internal,ELEVATOR ADMINISTRATOR,SUPERVISOR OF ELEVATOR MAINTEN,M2,Above 50K,Elevators Svcs & Repairs Dept
DEPARTMENT OF FINANCE,External,IT Asset Management College Aide,COLLEGE AIDE (ALL CITY DEPTS),02,Below 50K,Asset Management Team
NYC HOUSING AUTHORITY,Internal,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,02,Above 50K,Construction
NYC HOUSING AUTHORITY,External,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,02,Above 50K,Construction
